,OBJECTID,ID,NAME,ORDER,UNIQUEID,ROUTES,BRANCH
1,3,1,South Ferry,1,3,1,one
2,2,2,Rector St,2,2,1,one
3,344,4,Chambers St,3,3441,1,one
4,351,5,Franklin St,4,351,1,one
5,340,6,Canal St,5,340,1,one
6,359,7,Houston St,6,359,1,one
7,345,8,Christopher St,7,345,1,one
8,265,9,14th St,8,2651,1,one
9,275,10,18th St,9,275,1,one
10,287,11,23rd St,10,287,1,one
11,290,12,28th St,11,290,1,one
12,295,13,34th St,12,2951,1,one
37,481,99,Times Sq,37,4811,1,one
13,302,15,50th St,13,302,1,one
14,308,16,59th St,14,308,1,one
15,312,17,66th St,15,312,1,one
16,315,18,72nd St,16,3151,1,one
17,317,19,79th St,17,317,1,one
18,322,20,86th St,18,322,1,one
19,327,21,96th St,19,3271,1,one
20,244,22,103rd St,20,244,1,one
21,341,23,Cathedral Pky,21,341,1,one
22,251,24,116th St,22,251,1,one
23,255,25,125th St,23,255,1,one
24,258,26,137th St,24,258,1,one
25,261,27,145th St,25,261,1,one
26,268,28,157th St,26,268,1,one
27,271,29,168th St,27,271,1,one
28,274,30,181st St,28,274,1,one
29,277,31,191st St,29,277,1,one
30,349,32,Dyckman St,30,349,1,one
31,280,33,207th St,31,280,1,one
32,281,34,215th St,32,281,1,one
33,282,35,225th St,33,282,1,one
34,20,36,231st St,34,20,1,one
35,22,37,238th St,35,22,1,one
36,24,38,242nd St,36,24,1,one
29,23,64,241st St,1,23,2,two_main
28,62,63,Nereid Ave,2,62,2,two_main
27,21,62,233rd St,3,21,2,two_main
26,19,61,225th St,4,19,2,two_main
25,18,60,219th St,5,18,2,two_main
24,50,59,Gun Hill Rd,6,50,2,two_main
23,35,58,Burke Ave,7,35,2,two_main
22,28,57,Allerton Ave,8,28,2,two_main
21,65,56,Pelham Pky,9,65,2,two_main
20,32,55,Bronx Park East,10,32,2,two_main
19,43,54,E 180th St,11,43,2,two_main
18,44,53,E Tremont Ave,12,44,2,two_main
17,12,52,174th St,13,12,2,two_main
16,48,51,Freeman St,14,48,2,two_main
15,67,50,Simpson St,15,67,2,two_main
14,52,49,Intervale Ave,16,52,2,two_main
13,66,48,Prospect Ave,17,66,2,two_main
12,53,47,Jackson Ave,18,53,2,two_main
11,27,46,3rd Ave,19,27,2,two_main
10,6,45,149th St,20,6,2,two_main
9,257,42,135th St,21,257,2,two_main
8,252,41,125th St,22,252,2,two_main
7,248,40,116th St,23,248,2,two_main
6,247,39,110th St,24,247,2,two_main
5,327,21,96th St,25,327,2,two_main
4,315,18,72nd St,26,315,2,two_main
49,481,99,Times Sq,27,481,2,two_main
3,295,13,34th St,28,295,2,two_main
2,265,9,14th St,29,265,2,two_main
1,344,4,Chambers St,30,344,2,two_main
30,364,70,Park Pl,31,364,2,two_main
31,354,71,Fulton St,32,354,2,two_main
32,374,72,Wall St,33,374,2,two_main
33,140,73,Clark St,34,140,2,two_main
34,127,74,Borough Hall,35,127,2,two_main
35,175,75,Hoyt St,36,175,2,two_main
36,203,76,Nevins St,37,203,2,two_main
37,104,77,Atlantic Ave,38,104,2,two_main
38,123,78,Bergen St,39,123,2,two_main
39,167,79,Grand Army Plz,40,167,2,two_main
40,153,80,Eastern Pky,41,153,2,two_main
41,161,81,Franklin Ave,42,161,2,two_main
42,217,92,President St,43,217,2,two_main
43,228,93,Sterling St,44,228,2,two_main
44,239,94,Winthrop St,45,239,2,two_main
45,139,95,Church Ave,46,139,2,two_main
